"","Beer_Names","Beer_ID","ABV","IBU","Style","Ounces","Brewery_Name","Brewery_ID","City","State"
"1823","Brew Free! or Die IPA (2009)",796,0.07,70,"American IPA",12,"21st Amendment Brewery",369,"San Francisco"," CA"
"1824","Special Edition: Allies Win The War!",531,0.085,52,"English Strong Ale",12,"21st Amendment Brewery",369,"San Francisco"," CA"
"1825","Hop Crisis",432,0.097,94,"American Double / Imperial IPA",12,"21st Amendment Brewery",369,"San Francisco"," CA"
"1826","Bitter American (2011)",353,0.044,42,"American Pale Ale (APA)",12,"21st Amendment Brewery",369,"San Francisco"," CA"
"1827","Fireside Chat (2010)",321,0.079,45,"Winter Warmer",12,"21st Amendment Brewery",369,"San Francisco"," CA"
"1828","Back in Black",173,0.068,65,"American Black Ale",12,"21st Amendment Brewery",369,"San Francisco"," CA"
"1829","Monk's Blood",11,0.083,35,"Belgian Dark Ale",12,"21st Amendment Brewery",369,"San Francisco"," CA"
"1830","Brew Free! or Die IPA",10,0.07,65,"American IPA",12,"21st Amendment Brewery",369,"San Francisco"," CA"
"1831","Hell or High Watermelon Wheat",9,0.049,17,"Fruit / Vegetable Beer",12,"21st Amendment Brewery",369,"San Francisco"," CA"
"1832","Pumpkin Patch Ale",1590,0.05,NA,"Pumpkin Ale",16,"Eddyline Brewery & Restaurant",370,"Buena Vista"," CO"
"1833","Crank Yanker IPA",1382,0.078,74,"American IPA",16,"Eddyline Brewery & Restaurant",370,"Buena Vista"," CO"
"1834","River Runners Pale Ale",1110,0.06,NA,"American Pale Ale (APA)",16,"Eddyline Brewery & Restaurant",370,"Buena Vista"," CO"
"1835","Pumpkin Patch Ale (2012)",1014,0.05,NA,"Pumpkin Ale",16,"Eddyline Brewery & Restaurant",370,"Buena Vista"," CO"
"1836","Mountain Fairy Raspberry Wheat",911,0.055,NA,"Fruit / Vegetable Beer",16,"Eddyline Brewery & Restaurant",370,"Buena Vista"," CO"
"1837","Boater Beer",680,0.045,NA,"German Pilsener",16,"Eddyline Brewery & Restaurant",370,"Buena Vista"," CO"
"1838","Crank Yanker IPA (2011)",395,0.078,74,"American IPA",16,"Eddyline Brewery & Restaurant",370,"Buena Vista"," CO"
"1839","PONTO S.I.P.A.",1589,0.045,NA,"American IPA",16,"Pizza Port Brewing Company",371,"Carlsbad"," CA"
"1840","Chronic Ale",1457,0.049,NA,"American Amber / Red Ale",16,"Pizza Port Brewing Company",371,"Carlsbad"," CA"
"1841","Swami's India Pale Ale",1191,0.068,NA,"American IPA",16,"Pizza Port Brewing Company",371,"Carlsbad"," CA"
"1842","Sly Fox Christmas Ale 2013",1588,0.055,16,"Winter Warmer",12,"Sly Fox Brewing Company",372,"Pottstown"," PA"
