"","X","Brewery_ID","Name.x","Beer_ID","ABV","IBU","Style","Ounces","Name.y","City","State"
"1352",1352,241,"Get Up Offa That Brown",991,0.055,20,"American Brown Ale",16,"Golden Road Brewing","Los Angeles"," CA"
"1353",1353,241,"Burning Bush Smoked IPA",750,0.08,70,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"1354",1354,241,"Wolf Among Weeds IPA (2012)",749,0.08,70,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"1355",1355,241,"Point the Way IPA (2012)",549,0.059,60,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"1356",1356,241,"Golden Road Hefeweizen (2012)",548,0.046,15,"Hefeweizen",16,"Golden Road Brewing","Los Angeles"," CA"
"1357",1357,242,"Skylight",2043,0.056,20,"Dunkelweizen",12,"New Republic Brewing Company","College Station"," TX"
"1358",1358,242,"Kadigan",2042,0.056,30,"American Blonde Ale",12,"New Republic Brewing Company","College Station"," TX"
"1359",1359,242,"Dammit Jim!",2041,0.052,50,"American Amber / Red Ale",12,"New Republic Brewing Company","College Station"," TX"
"1360",1360,243,"Infamous IPA",2038,0.07,75,"American IPA",12,"Infamous Brewing Company","Austin"," TX"
"1361",1361,243,"Hijack",1774,0.055,20,"Cream Ale",12,"Infamous Brewing Company","Austin"," TX"
"1362",1362,244,"The Gilded Age",2037,0.045,NA,"Munich Helles Lager",12,"Two Henrys Brewing Company","Plant City"," FL"
"1363",1363,245,"Getaway",2036,0.052,30,"German Pilsener",16,"Lift Bridge Brewing Company","Stillwater"," MN"
"1364",1364,245,"Farm Girl Saison",1168,0.06,30,"Saison / Farmhouse Ale",16,"Lift Bridge Brewing Company","Stillwater"," MN"
"1365",1365,246,"Pub Ale",2033,0.038,18,"English Dark Mild Ale",12,"Lucky Town Brewing Company","Jackson"," MS"
"1366",1366,246,"Ballistic Blonde",2032,0.051,31,"Belgian Pale Ale",12,"Lucky Town Brewing Company","Jackson"," MS"
"1367",1367,247,"Golden Fleece",2031,0.045,35,"Belgian Pale Ale",12,"Quest Brewing Company","Greenville"," SC"
"1368",1368,247,"Smoking Mirror",2030,0.055,30,"American Porter",12,"Quest Brewing Company","Greenville"," SC"
"1369",1369,248,"Tropicalia",2029,0.065,65,"American IPA",12,"Creature Comforts","Athens"," GA"
"1370",1370,248,"Athena",2028,0.045,NA,"Berliner Weissbier",12,"Creature Comforts","Athens"," GA"
"1371",1371,249,"Pursuit",2026,0.07,40,"American IPA",12,"Half Full Brewery","Stamford"," CT"
"1372",1372,249,"Half Full Bright Ale",1361,0.052,18,"American Blonde Ale",12,"Half Full Brewery","Stamford"," CT"
"1373",1373,250,"Montauk Light",2024,0.035,NA,"Light Lager",12,"Southampton Publick House","Southampton"," NY"
"1374",1374,251,"Enlighten",2019,0.045,NA,"Kölsch",16,"Chapman's Brewing","Angola"," IN"
"1375",1375,251,"Ale Cider",2018,0.065,8,"Fruit / Vegetable Beer",16,"Chapman's Brewing","Angola"," IN"
"1376",1376,251,"Pail Ale",2017,0.055,30,"American Pale Ale (APA)",16,"Chapman's Brewing","Angola"," IN"
"1377",1377,251,"Englishman",2016,0.045,NA,"English Brown Ale",16,"Chapman's Brewing","Angola"," IN"
"1378",1378,252,"Barrio Blanco",2005,0.06,60,"American IPA",12,"Barrio Brewing Company","Tucson"," AZ"
"1379",1379,252,"Barrio Tucson Blonde",1343,0.045,NA,"American Blonde Ale",12,"Barrio Brewing Company","Tucson"," AZ"
"1380",1380,253,"Giant DIPA",2002,0.089,88,"American Double / Imperial IPA",16,"Santa Cruz Mountain Brewing","Santa Cruz"," CA"
"1381",1381,253,"Dread Brown Ale",1683,0.054,NA,"American Brown Ale",12,"Santa Cruz Mountain Brewing","Santa Cruz"," CA"
"1382",1382,253,"Casinos IPA",1362,0.07,NA,"English India Pale Ale (IPA)",16,"Santa Cruz Mountain Brewing","Santa Cruz"," CA"
"1383",1383,254,"Old Detroit",1998,0.056,NA,"American Amber / Red Ale",12,"Frankenmuth Brewery","Frankenmuth"," MI"
"1384",1384,254,"Batch 69 IPA",1556,0.069,69,"American IPA",12,"Frankenmuth Brewery","Frankenmuth"," MI"
"1385",1385,254,"Twisted Helles Summer Lager",1208,0.055,18,"Munich Helles Lager",12,"Frankenmuth Brewery","Frankenmuth"," MI"
"1386",1386,255,"Bushwhacker Cider",1986,0.069,NA,"Cider",16,"Meckley's Cidery","Somerset Center"," MI"
"1387",1387,255,"Weim-R-Iner",1985,0.069,NA,"Cider",16,"Meckley's Cidery","Somerset Center"," MI"
"1388",1388,255,"Cherry Bomb",1984,0.069,NA,"Cider",16,"Meckley's Cidery","Somerset Center"," MI"
"1389",1389,256,"Brontide",1983,0.05,NA,"American Black Ale",12,"Stillwater Artisanal Ales","Baltimore"," MD"
"1390",1390,256,"Brontide",1631,0.05,NA,"American Black Ale",12,"Stillwater Artisanal Ales","Baltimore"," MD"
"1391",1391,256,"Classique",1344,0.045,NA,"Saison / Farmhouse Ale",12,"Stillwater Artisanal Ales","Baltimore"," MD"
"1392",1392,257,"Hardcore Chimera",1981,0.09,NA,"American Double / Imperial IPA",16,"Finch's Beer Company","Chicago"," IL"
"1393",1393,257,"Sobek & Set",1664,0.08,80,"American Black Ale",16,"Finch's Beer Company","Chicago"," IL"
"1394",1394,257,"Nuclear Winter",1663,0.086,NA,"Belgian Strong Dark Ale",16,"Finch's Beer Company","Chicago"," IL"
"1395",1395,257,"Wet Hot American Wheat Ale",1662,0.05,22,"American Pale Wheat Ale",16,"Finch's Beer Company","Chicago"," IL"
"1396",1396,257,"Secret Stache Stout",941,0.053,NA,"American Stout",16,"Finch's Beer Company","Chicago"," IL"
"1397",1397,257,"Fascist Pig Ale",935,0.08,72,"American Amber / Red Ale",16,"Finch's Beer Company","Chicago"," IL"
"1398",1398,257,"Cut Throat Pale Ale",809,0.055,NA,"American Pale Ale (APA)",16,"Finch's Beer Company","Chicago"," IL"
"1399",1399,257,"Threadless IPA",481,0.075,NA,"American IPA",16,"Finch's Beer Company","Chicago"," IL"
"1400",1400,257,"Cut Throat Pale Ale (2011)",351,0.055,NA,"American Pale Ale (APA)",16,"Finch's Beer Company","Chicago"," IL"
"1401",1401,257,"Golden Wing Blonde Ale",350,0.047,NA,"American Blonde Ale",16,"Finch's Beer Company","Chicago"," IL"
"1402",1402,258,"LuckenBock",1972,0.07,18,"Bock",16,"South Austin Brewery","South Austin"," TX"
"1403",1403,258,"Texas Pale Ale (TPA)",1971,0.055,40,"American IPA",16,"South Austin Brewery","South Austin"," TX"
"1404",1404,258,"6 String Saison",1970,0.08,NA,"Saison / Farmhouse Ale",16,"South Austin Brewery","South Austin"," TX"
"1405",1405,258,"Kol' Beer",1969,0.05,22,"Kölsch",16,"South Austin Brewery","South Austin"," TX"
"1406",1406,259,"Wagon Party",1966,0.054,55,"California Common / Steam Beer",12,"Bauhaus Brew Labs","Minneapolis"," MN"
"1407",1407,259,"Sky-Five",1965,0.067,70,"American IPA",12,"Bauhaus Brew Labs","Minneapolis"," MN"
"1408",1408,259,"Stargrazer",1964,0.05,28,"Schwarzbier",12,"Bauhaus Brew Labs","Minneapolis"," MN"
"1409",1409,259,"Wonderstuff",1963,0.054,48,"German Pilsener",12,"Bauhaus Brew Labs","Minneapolis"," MN"
"1410",1410,260,"Ozark American Pale Ale",1961,0.04,39,"American Pale Ale (APA)",12,"Ozark Beer Company","Rogers"," AR"
"1411",1411,261,"Train Wreck",1952,0.082,NA,"American Amber / Red Ale",16,"Mountain Town Brewing Company ","Mount Pleasant"," MI"
"1412",1412,262,"Overgrown American Pale Ale",1946,0.055,55,"American Pale Ale (APA)",12,"Otter Creek Brewing","Waterbury"," VT"
"1413",1413,263,"Birdhouse Pale Ale",1945,0.05,NA,"Belgian Pale Ale",12,"The Brewer's Art","Baltimore"," MD"
"1414",1414,263,"Ozzy",1079,0.073,NA,"Belgian Pale Ale",12,"The Brewer's Art","Baltimore"," MD"
"1415",1415,263,"Resurrection",94,0.07,NA,"Dubbel",12,"The Brewer's Art","Baltimore"," MD"
"1416",1416,264,"Incredible Pedal IPA",1944,0.07,NA,"American IPA",12,"Denver Beer Company","Denver"," CO"
"1417",1417,264,"Graham Cracker Porter",1943,0.05,NA,"American Porter",12,"Denver Beer Company","Denver"," CO"
"1418",1418,265,"Rudie Session IPA",1942,0.045,NA,"American IPA",12,"Ska Brewing Company","Durango"," CO"
"1419",1419,265,"Taster's Choice",1708,0.074,NA,"Doppelbock",12,"Ska Brewing Company","Durango"," CO"
"1420",1420,265,"Modus Hoperandi",1521,0.068,65,"American IPA",12,"Ska Brewing Company","Durango"," CO"
"1421",1421,265,"Estival Cream Stout",1297,0.058,15,"American Stout",12,"Ska Brewing Company","Durango"," CO"
"1422",1422,265,"Vernal Minthe Stout",1192,0.058,NA,"American Stout",12,"Ska Brewing Company","Durango"," CO"
"1423",1423,265,"Hibernal Vinifera Stout",1013,0.08,NA,"Foreign / Export Stout",12,"Ska Brewing Company","Durango"," CO"
"1424",1424,265,"Autumnal Molé Stout",774,NA,NA,"American Stout",12,"Ska Brewing Company","Durango"," CO"
"1425",1425,265,"Mexican Logger",386,0.042,18,"American Pale Lager",12,"Ska Brewing Company","Durango"," CO"
"1426",1426,265,"True Blonde Ale",70,0.053,NA,"American Blonde Ale",12,"Ska Brewing Company","Durango"," CO"
"1427",1427,265,"Euphoria Pale Ale",69,0.061,NA,"American Pale Ale (APA)",12,"Ska Brewing Company","Durango"," CO"
"1428",1428,265,"ESB Special Ale",68,0.057,58,"Extra Special / Strong Bitter (ESB)",12,"Ska Brewing Company","Durango"," CO"
"1429",1429,265,"Modus Hoperandi",67,0.068,65,"American IPA",12,"Ska Brewing Company","Durango"," CO"
"1430",1430,266,"Almanac IPA",1938,0.062,72,"American IPA",12,"Tractor Brewing Company","Albuquerque"," NM"
"1431",1431,266,"Milk Mustachio Stout",1937,0.065,NA,"Milk / Sweet Stout",12,"Tractor Brewing Company","Albuquerque"," NM"
"1432",1432,266,"Farmer's Tan Red Ale",1936,0.06,30,"American Amber / Red Ale",12,"Tractor Brewing Company","Albuquerque"," NM"
"1433",1433,267,"Fresh Cut Pilsner",1931,0.046,NA,"American Pilsner",12,"Peak Organic Brewing Company","Portland"," ME"
"1434",1434,267,"Summer Session Ale",1930,0.05,61,"American Pale Wheat Ale",12,"Peak Organic Brewing Company","Portland"," ME"
"1435",1435,268,"Cape Cod Red",1928,0.055,35,"American Amber / Red Ale",16,"Cape Cod Beer","Hyannis"," MA"
"1436",1436,268,"Beach Blonde",1927,0.049,10,"American Blonde Ale",16,"Cape Cod Beer","Hyannis"," MA"
"1437",1437,269,"Long Trail IPA",1926,0.059,42,"English India Pale Ale (IPA)",12,"Long Trail Brewing Company","Bridgewater Corners"," VT"
"1438",1438,269,"Long Trail Ale",1924,0.046,30,"American Amber / Red Ale",12,"Long Trail Brewing Company","Bridgewater Corners"," VT"
"1439",1439,269,"Double Bag",1090,0.072,33,"Altbier",16,"Long Trail Brewing Company","Bridgewater Corners"," VT"
"1440",1440,269,"Blackbeary Wheat",574,0.04,8,"Fruit / Vegetable Beer",12,"Long Trail Brewing Company","Bridgewater Corners"," VT"
